City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.9167,114.0833,-33.42,99,100,0.82,RU,1675831604
1,alta floresta,-9.8756,-56.0861,21.66,97,97,0.7,BR,1675831904
2,chuy,-33.6971,-53.4616,20.09,86,12,2.73,UY,1675831904
3,albany,42.6001,-73.9662,2.35,78,84,1.67,US,1675831653
4,tasiilaq,65.6145,-37.6368,-17.91,46,0,8.49,GL,1675831905
5,rikitea,-23.1203,-134.9692,26.48,71,61,4.02,PF,1675831662
6,ribeira grande,38.5167,-28.7,12.65,64,55,3.13,PT,1675831905
7,avarua,-21.2078,-159.775,28.03,78,20,3.6,CK,1675831906
8,cape town,-33.9258,18.4232,21.06,75,20,5.81,ZA,1675831906
9,uige,-7.6087,15.0613,18.79,92,100,0.2,AO,1675831906
10,cabo san lucas,22.8909,-109.9124,20.28,38,87,2.38,MX,1675831907
11,sur,22.5667,59.5289,26.19,43,65,1.84,OM,1675831907
12,bathsheba,13.2167,-59.5167,25.34,83,40,5.66,BB,1675831908
13,kwaluseni,-26.4833,31.3333,20.34,92,61,0.83,SZ,1675831908
14,jamestown,42.097,-79.2353,2.79,95,100,4.12,US,1675831909
15,soe,-9.8607,124.284,25.11,78,18,2.27,ID,1675831909
16,new norfolk,-42.7826,147.0587,17.73,43,7,0.89,AU,1675831909
17,bandarbeyla,9.4942,50.8122,25.47,69,99,5.47,SO,1675831910
18,iqaluit,63.7506,-68.5145,-33.15,75,75,1.03,CA,1675831910
19,pevek,69.7008,170.3133,-30.37,98,100,1.71,RU,1675831911
20,savyntsi,49.4026,37.0627,-9.49,87,6,5.39,UA,1675831911
21,kodiak,57.79,-152.4072,-5.27,63,0,7.72,US,1675831911
22,ponta do sol,32.6667,-17.1,15.4,70,33,3.3,PT,1675831912
23,punta arenas,-53.15,-70.9167,13.06,71,0,6.69,CL,1675831823
24,chokurdakh,70.6333,147.9167,-36.8,99,100,1.82,RU,1675831912
25,oktyabrskiy,54.4815,53.471,-21.03,100,89,0.87,RU,1675831913
26,teya,60.3778,92.6267,-10.07,89,100,2.74,RU,1675831913
27,torbay,47.6666,-52.7314,-2.56,85,75,11.32,CA,1675831913
28,nyurba,63.2842,118.3319,-31.78,93,100,0.32,RU,1675831914
29,upernavik,72.7868,-56.1549,-30.73,95,47,1.89,GL,1675831914
30,khatanga,71.9667,102.5,-43.26,100,62,1.44,RU,1675831797
31,kinkala,-4.3614,14.7644,20.41,94,97,0.78,CG,1675831915
32,los llanos de aridane,28.6585,-17.9182,11.86,76,20,3.6,ES,1675831915
33,longyearbyen,78.2186,15.6401,-5.09,68,40,4.12,SJ,1675831916
34,kashi,39.4547,75.9797,2.56,35,0,1.0,CN,1675831916
35,almeirim,-1.5233,-52.5817,23.34,93,100,1.49,BR,1675831917
36,honningsvag,70.9821,25.9704,1.86,60,20,11.83,NO,1675831917
37,east london,-33.0153,27.9116,20.52,94,100,4.63,ZA,1675831917
38,constitucion,-35.3333,-72.4167,15.98,63,0,3.68,CL,1675831857
39,hunchun,42.8675,130.3581,-1.89,40,22,5.47,CN,1675831918
40,tiksi,71.6872,128.8694,-37.81,99,93,2.79,RU,1675831919
41,port lincoln,-34.7333,135.8667,24.77,51,46,4.78,AU,1675831919
42,pangnirtung,66.1451,-65.7125,-33.68,82,5,2.59,CA,1675831920
43,kavieng,-2.5744,150.7967,27.98,76,100,4.0,PG,1675831920
44,hithadhoo,-0.6,73.0833,27.4,73,12,3.52,MV,1675831693
45,busselton,-33.65,115.3333,28.07,44,0,3.84,AU,1675831836
46,kuala terengganu,5.3302,103.1408,29.43,83,40,4.63,MY,1675831921
47,puerto salgar,5.463,-74.6544,23.32,88,16,0.69,CO,1675831921
48,high prairie,55.4334,-116.4858,-7.75,95,100,0.4,CA,1675831805
49,prestea,5.4327,-2.1428,23.01,96,95,1.0,GH,1675831923
50,qaanaaq,77.484,-69.3632,-32.1,67,8,2.71,GL,1675831924
51,tuatapere,-46.1333,167.6833,11.17,77,65,6.79,NZ,1675831817
52,port augusta,-32.5,137.7667,36.09,13,0,5.77,AU,1675831924
53,broken hill,-31.95,141.4333,31.96,13,0,5.46,AU,1675831925
54,barrow,71.2906,-156.7887,-18.99,78,100,3.09,US,1675831926
